time_index,area,num_people,area_m2,density,congestion
10,F,6,438.7231945461476,0.0136760492141449,0.0273520984282898
10,E,13,583.1261941650279,0.0222936306584796,0.0445872613169592
10,H,13,628.9629458340296,0.0206689441502177,0.0413378883004354
10,GH,11,844.1888963399747,0.0130302590423672,0.0260605180847344
10,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
10,IM2,0,464.7433054559947,0.0,0.0
10,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
10,C,6,637.5788765988797,0.0094106003511386,0.0188212007022772
10,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
10,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
10,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
10,M,0,672.0425996582782,0.0,0.0
10,A,0,595.5331344664123,0.0,0.0
11,Outside,153,,,
11,K,11,620.3470150691795,0.0177320108468214,0.0354640216936428
11,G,6,440.4463806991165,0.013622543544293,0.027245087088586
11,D,10,616.3836869173489,0.0162236610284283,0.0324473220568566
11,F,5,438.7231945461476,0.0113967076784541,0.0227934153569082
11,E,11,583.1261941650279,0.0188638413264058,0.0377276826528116
11,H,12,628.9629458340296,0.0190790253694317,0.0381580507388634
11,GH,14,844.1888963399747,0.0165839660539219,0.0331679321078438
11,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
11,IM2,0,464.7433054559947,0.0,0.0
11,J,3,562.7925975599836,0.005330560517332,0.010661121034664
11,C,5,637.5788765988797,0.0078421669592822,0.0156843339185644
11,IM1,0,414.08163255867794,0.0,0.0
11,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
11,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
11,M,0,672.0425996582782,0.0,0.0
11,A,0,595.5331344664123,0.0,0.0
12,Outside,128,,,
12,K,4,620.3470150691795,0.0064480039442987,0.0128960078885974
12,G,10,440.4463806991165,0.0227042392404884,0.0454084784809768
12,D,10,616.3836869173489,0.0162236610284283,0.0324473220568566
12,F,11,438.7231945461476,0.025072756892599,0.050145513785198
12,E,12,583.1261941650279,0.0205787359924427,0.0411574719848854
12,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
12,GH,12,844.1888963399747,0.0142148280462188,0.0284296560924376
12,B,4,736.6620803946497,0.0054298980583568,0.0108597961167136
12,IM2,1,464.7433054559947,0.0021517254541597,0.0043034509083194
12,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
12,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
12,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
12,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
12,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
12,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
12,A,0,595.5331344664123,0.0,0.0
13,Outside,126,,,
13,K,7,620.3470150691795,0.0112840069025227,0.0225680138050454
13,G,6,440.4463806991165,0.013622543544293,0.027245087088586
13,D,13,616.3836869173489,0.0210907593369569,0.0421815186739138
13,F,10,438.7231945461476,0.0227934153569082,0.0455868307138164
13,E,14,583.1261941650279,0.0240085253245165,0.048017050649033
13,H,12,628.9629458340296,0.0190790253694317,0.0381580507388634
13,GH,18,844.1888963399747,0.0213222420693282,0.0426444841386564
13,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
13,IM2,0,464.7433054559947,0.0,0.0
13,J,6,562.7925975599836,0.0106611210346641,0.0213222420693282
13,C,6,637.5788765988797,0.0094106003511386,0.0188212007022772
13,IM1,0,414.08163255867794,0.0,0.0
13,L,4,660.6695710486767,0.0060544637974635,0.012108927594927
13,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
13,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
13,A,0,595.5331344664123,0.0,0.0
14,Outside,134,,,
14,K,8,620.3470150691795,0.0128960078885974,0.0257920157771948
14,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
14,D,14,616.3836869173489,0.0227131254397997,0.0454262508795994
14,F,6,438.7231945461476,0.0136760492141449,0.0273520984282898
14,E,15,583.1261941650279,0.0257234199905533,0.0514468399811066
14,H,12,628.9629458340296,0.0190790253694317,0.0381580507388634
14,GH,13,844.1888963399747,0.0153993970500704,0.0307987941001408
14,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
14,IM2,0,464.7433054559947,0.0,0.0
14,J,8,562.7925975599836,0.0142148280462188,0.0284296560924376
14,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
14,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
14,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
14,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
14,M,2,672.0425996582782,0.0029760018204455,0.005952003640891
14,A,0,595.5331344664123,0.0,0.0
15,Outside,141,,,
15,K,7,620.3470150691795,0.0112840069025227,0.0225680138050454
15,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
15,D,14,616.3836869173489,0.0227131254397997,0.0454262508795994
15,F,7,438.7231945461476,0.0159553907498357,0.0319107814996714
15,E,13,583.1261941650279,0.0222936306584796,0.0445872613169592
15,H,14,628.9629458340296,0.0222588629310037,0.0445177258620074
15,GH,9,844.1888963399747,0.0106611210346641,0.0213222420693282
15,B,3,736.6620803946497,0.0040724235437676,0.0081448470875352
15,IM2,0,464.7433054559947,0.0,0.0
15,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
15,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
15,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
15,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
15,N,3,500.4132588224709,0.0059950449895339,0.0119900899790678
15,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
15,A,0,595.5331344664123,0.0,0.0
16,Outside,110,,,
16,K,8,620.3470150691795,0.0128960078885974,0.0257920157771948
16,G,11,440.4463806991165,0.0249746631645373,0.0499493263290746
16,D,17,616.3836869173489,0.0275802237483282,0.0551604474966564
16,F,9,438.7231945461476,0.0205140738212174,0.0410281476424348
16,E,20,583.1261941650279,0.0342978933207378,0.0685957866414756
16,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
16,GH,13,844.1888963399747,0.0153993970500704,0.0307987941001408
