time_index,area,num_people
121,E,14
121,C,9
121,K,7
121,N,8
121,H,9
121,GH,12
121,G,11
121,F,12
121,D,17
121,L,4
121,IM2,2
121,J,3
121,B,2
121,M,0
121,A,0
122,Outside,110
122,IM1,6
122,E,13
122,C,4
122,K,5
122,N,8
122,H,12
122,GH,7
122,G,16
122,F,16
122,D,9
122,L,2
122,IM2,3
122,J,4
122,B,3
122,M,0
122,A,0
123,Outside,116
123,IM1,10
123,E,14
123,C,8
123,K,7
123,N,8
123,H,8
123,GH,6
123,G,10
123,F,16
123,D,8
123,L,3
123,IM2,1
123,J,4
123,B,3
123,M,0
123,A,0
124,Outside,114
124,IM1,7
124,E,11
124,C,8
124,K,5
124,N,9
124,H,10
124,GH,13
124,G,10
124,F,15
124,D,8
124,L,3
124,IM2,5
124,J,2
124,B,3
124,M,0
124,A,0
125,Outside,103
125,IM1,5
125,E,19
125,C,8
125,K,6
125,N,8
125,H,9
125,GH,5
125,G,9
125,F,10
125,D,11
125,L,1
125,IM2,6
125,J,3
125,B,2
125,M,1
125,A,0
126,Outside,113
126,IM1,7
126,E,20
126,C,7
126,K,8
126,N,8
126,H,8
126,GH,8
126,G,7
126,F,8
126,D,7
126,L,2
126,IM2,4
126,J,4
126,B,3
126,M,0
126,A,0
127,Outside,92
127,IM1,2
127,E,12
127,C,9
127,K,7
127,N,8
127,H,8
127,GH,15
127,G,11
127,F,15
127,D,12
127,L,1
127,IM2,3
127,J,5
127,B,3
127,M,0
127,A,0
128,Outside,100
128,IM1,11
128,E,12
128,C,10
128,K,8
128,N,8
128,H,8
128,GH,8
128,G,11
128,F,16
128,D,11
128,L,3
128,IM2,3
128,J,3
128,B,2
128,M,0
128,A,0
